epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.874,0.6877,1.4378,0.85106,0.98403,0.98939,0.99393,0.85768,0.56422,0.47637,0.81128,0.000554555,0.000554555,0.000554555
2,233.147,0.61907,0.59306,0.83278,0.98359,0.97982,0.99196,0.8731,0.52426,0.45332,0.81401,0.00108824,0.00108824,0.00108824
3,340.106,0.59993,0.47929,0.83449,0.99044,0.99346,0.99468,0.88285,0.50265,0.37689,0.81121,0.00159992,0.00159992,0.00159992
4,445.868,0.57362,0.43015,0.83143,0.99113,0.991,0.99463,0.89519,0.48897,0.35657,0.81326,0.00156798,0.00156798,0.00156798
5,552.853,0.54602,0.39445,0.82652,0.99599,0.9945,0.99482,0.89699,0.46679,0.33151,0.80845,0.00153497,0.00153497,0.00153497
6,658.673,0.53284,0.37685,0.82358,0.99377,0.99436,0.99456,0.9093,0.42574,0.3057,0.80009,0.00150197,0.00150197,0.00150197
7,764.806,0.51568,0.36025,0.8198,0.97947,0.97717,0.99377,0.91661,0.41544,0.32933,0.79894,0.00146896,0.00146896,0.00146896
8,871.4,0.50071,0.35006,0.81884,0.99062,0.99363,0.99414,0.90527,0.43694,0.31386,0.80359,0.00143595,0.00143595,0.00143595
9,977.264,0.49604,0.34312,0.81563,0.9969,0.99529,0.99493,0.9196,0.41054,0.27595,0.79885,0.00140295,0.00140295,0.00140295
10,1084.67,0.48638,0.3324,0.81625,0.99849,0.99705,0.99496,0.92341,0.39751,0.2627,0.79706,0.00136994,0.00136994,0.00136994
11,1191.26,0.48278,0.32329,0.81549,0.99568,0.99665,0.99451,0.9172,0.4087,0.27173,0.79805,0.00133693,0.00133693,0.00133693
12,1297.53,0.47172,0.31548,0.81112,0.99747,0.99723,0.99476,0.9223,0.40307,0.26025,0.79636,0.00130393,0.00130393,0.00130393
13,1404.14,0.46558,0.31104,0.81065,0.99637,0.99668,0.99473,0.92423,0.39362,0.24843,0.79257,0.00127092,0.00127092,0.00127092
14,1511.09,0.46217,0.30763,0.81185,0.9955,0.99651,0.99471,0.92872,0.37523,0.24584,0.79105,0.00123791,0.00123791,0.00123791
15,1617.21,0.4562,0.3007,0.81062,0.99674,0.99741,0.99495,0.92974,0.37793,0.23874,0.79161,0.00120491,0.00120491,0.00120491
16,1722.49,0.45224,0.29541,0.8111,0.9974,0.9965,0.99441,0.92831,0.37149,0.23154,0.7908,0.0011719,0.0011719,0.0011719
17,1828.79,0.45163,0.293,0.81036,0.99654,0.99858,0.99467,0.92765,0.38365,0.23373,0.7921,0.00113889,0.00113889,0.00113889
18,1934.6,0.44778,0.29181,0.80802,0.9977,0.99874,0.99495,0.93392,0.36574,0.2284,0.78915,0.00110589,0.00110589,0.00110589
19,2041.71,0.44315,0.28874,0.80748,0.99363,0.9984,0.99484,0.93737,0.36109,0.22534,0.78884,0.00107288,0.00107288,0.00107288
